"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2020年10月15日","23,507.23","23,548.45","23,581.16","23,458.43","483.25M","-0.51%"
"2020年10月14日","23,626.73","23,545.66","23,656.70","23,518.81","540.24M","0.11%"
"2020年10月13日","23,601.78","23,667.90","23,667.90","23,490.95","471.89M","0.18%"
"2020年10月12日","23,558.69","23,588.74","23,597.91","23,501.26","448.94M","-0.26%"
"2020年10月09日","23,619.69","23,713.86","23,725.58","23,552.73","560.94M","-0.12%"
"2020年10月08日","23,647.07","23,506.34","23,701.77","23,477.73","563.45M","0.96%"
"2020年10月07日","23,422.82","23,272.45","23,432.73","23,272.45","520.93M","-0.05%"
"2020年10月06日","23,433.73","23,420.07","23,441.16","23,331.40","576.64M","0.52%"
"2020年10月05日","23,312.14","23,254.28","23,377.43","23,252.69","594.70M","1.23%"
"2020年10月02日","23,029.90","23,294.80","23,365.58","22,951.41","862.93M","-0.67%"
"2020年10月01日","23,185.12","23,185.12","23,185.12","23,185.12","-","0.00%"
"2020年09月30日","23,185.12","23,478.85","23,522.38","23,170.89","882.18M","-1.50%"
"2020年09月29日","23,539.10","23,410.50","23,622.74","23,347.64","613.48M","0.12%"
"2020年09月28日","23,511.62","23,391.96","23,516.04","23,303.03","819.82M","1.32%"
"2020年09月25日","23,204.62","23,217.33","23,272.67","23,154.66","721.75M","0.51%"
"2020年09月24日","23,087.82","23,215.00","23,234.72","23,039.48","705.32M","-1.11%"
"2020年09月23日","23,346.49","23,245.89","23,370.13","23,154.45","769.61M","-0.06%"
"2020年09月18日","23,360.30","23,321.19","23,398.46","23,290.19","826.01M","0.18%"
"2020年09月17日","23,319.37","23,416.62","23,446.39","23,272.23","610.98M","-0.67%"
"2020年09月16日","23,475.53","23,425.23","23,506.45","23,397.43","630.21M","0.09%"
"2020年09月15日","23,454.89","23,438.83","23,477.86","23,351.35","617.63M","-0.44%"
"2020年09月14日","23,559.30","23,431.16","23,582.21","23,429.42","654.36M","0.65%"
"2020年09月11日","23,406.49","23,114.63","23,412.93","23,114.63","768.96M","0.74%"
"2020年09月10日","23,235.47","23,193.47","23,250.31","23,134.02","675.86M","0.88%"
"2020年09月09日","23,032.54","22,966.89","23,059.02","22,878.71","844.32M","-1.04%"
"2020年09月08日","23,274.13","23,188.79","23,277.66","23,129.66","621.13M","0.80%"
"2020年09月07日","23,089.95","23,145.47","23,218.22","23,086.89","572.77M","-0.50%"
"2020年09月04日","23,205.43","23,130.32","23,257.69","23,098.77","593.15M","-1.11%"
"2020年09月03日","23,465.53","23,524.49","23,580.51","23,426.11","574.65M","0.94%"
"2020年09月02日","23,247.15","23,261.09","23,287.40","23,170.82","526.37M","0.47%"
"2020年09月01日","23,138.07","23,089.63","23,206.66","23,047.77","595.68M","-0.01%"
"2020年08月31日","23,139.76","23,147.14","23,342.32","23,102.61","809.89M","1.12%"
"2020年08月28日","22,882.65","23,232.30","23,376.13","22,594.79","980.83M","-1.41%"
"2020年08月27日","23,208.86","23,311.04","23,323.07","23,177.85","526.75M","-0.35%"
"2020年08月26日","23,290.86","23,257.05","23,348.80","23,203.00","477.90M","-0.03%"
"2020年08月25日","23,296.77","23,242.74","23,431.04","23,225.39","752.69M","1.35%"
"2020年08月24日","22,985.51","22,913.20","23,012.71","22,862.54","405.89M","0.28%"
"2020年08月21日","22,920.30","23,022.76","23,135.43","22,920.30","511.83M","0.17%"
"2020年08月20日","22,880.62","23,003.58","23,078.36","22,851.83","501.84M","-1.00%"
"2020年08月19日","23,110.61","22,997.93","23,149.85","22,953.60","500.96M","0.26%"
"2020年08月18日","23,051.08","23,097.80","23,128.18","22,948.89","556.30M","-0.20%"
"2020年08月17日","23,096.75","23,189.48","23,248.75","23,068.53","435.89M","-0.83%"
"2020年08月14日","23,289.36","23,323.92","23,338.79","23,222.85","598.15M","0.17%"
"2020年08月13日","23,249.61","23,123.36","23,316.69","23,111.50","848.23M","1.78%"
"2020年08月12日","22,843.96","22,747.44","22,874.37","22,670.74","907.65M","0.41%"
"2020年08月11日","22,750.24","22,505.51","22,760.87","22,497.07","993.22M","1.88%"
"2020年08月07日","22,329.94","22,433.78","22,436.16","22,204.61","666.93M","-0.39%"
"2020年08月06日","22,418.15","22,471.71","22,587.75","22,362.89","626.23M","-0.43%"
"2020年08月05日","22,514.85","22,479.72","22,554.20","22,356.25","740.04M","-0.26%"
"2020年08月04日","22,573.66","22,379.74","22,603.82","22,379.74","891.08M","1.70%"
"2020年08月03日","22,195.38","21,947.58","22,214.59","21,919.83","839.73M","2.24%"
"2020年07月31日","21,710.00","22,267.59","22,295.05","21,710.00","1.07B","-2.82%"
"2020年07月30日","22,339.23","22,489.24","22,506.60","22,334.71","777.66M","-0.26%"
"2020年07月29日","22,397.11","22,543.89","22,584.87","22,366.34","742.59M","-1.15%"
"2020年07月28日","22,657.38","22,735.02","22,842.19","22,646.22","677.53M","-0.26%"
"2020年07月27日","22,715.85","22,495.95","22,741.13","22,429.57","717.62M","-0.16%"
"2020年07月22日","22,751.61","22,791.75","22,855.31","22,732.92","653.64M","-0.58%"
"2020年07月21日","22,884.22","22,789.38","22,925.58","22,780.22","685.61M","0.73%"
"2020年07月20日","22,717.48","22,772.07","22,788.53","22,580.19","500.42M","0.09%"
"2020年07月17日","22,696.42","22,807.57","22,857.82","22,643.52","558.65M","-0.32%"
"2020年07月16日","22,770.36","22,907.96","22,925.90","22,739.42","894.44M","-0.76%"
"2020年07月15日","22,945.50","22,817.91","22,965.56","22,800.11","725.70M","1.59%"
"2020年07月14日","22,587.01","22,631.87","22,677.02","22,538.78","609.65M","-0.87%"
"2020年07月13日","22,784.74","22,591.81","22,784.74","22,561.47","712.47M","2.22%"
"2020年07月10日","22,290.81","22,534.97","22,563.68","22,285.07","788.05M","-1.06%"
"2020年07月09日","22,529.29","22,442.30","22,679.08","22,434.38","651.67M","0.40%"
"2020年07月08日","22,438.65","22,481.61","22,667.95","22,438.65","649.12M","-0.78%"
"2020年07月07日","22,614.69","22,649.90","22,742.28","22,540.44","626.64M","-0.44%"
"2020年07月06日","22,714.44","22,341.27","22,734.11","22,325.75","580.11M","1.83%"
"2020年07月03日","22,306.48","22,266.91","22,312.44","22,154.97","516.77M","0.72%"
"2020年07月02日","22,145.96","22,182.68","22,267.51","22,072.11","735.69M","0.11%"
"2020年07月01日","22,121.73","22,338.30","22,360.31","22,039.56","673.60M","-0.75%"
"2020年06月30日","22,288.14","22,335.10","22,448.30","22,273.38","741.69M","1.33%"
"2020年06月29日","21,995.04","22,255.05","22,281.38","21,969.59","737.16M","-2.30%"
"2020年06月26日","22,512.08","22,424.37","22,589.14","22,408.27","666.39M","1.13%"
"2020年06月25日","22,259.79","22,287.87","22,423.41","22,165.14","808.20M","-1.22%"
"2020年06月24日","22,534.32","22,541.01","22,663.29","22,479.86","669.68M","-0.07%"
"2020年06月23日","22,549.05","22,636.06","22,693.89","22,257.14","-","0.50%"
"2020年06月22日","22,437.27","22,353.69","22,575.74","22,311.94","545.97M","-0.18%"
"2020年06月19日","22,478.79","22,515.75","22,523.66","22,352.16","969.60M","0.55%"
"2020年06月18日","22,355.46","22,363.88","22,432.25","22,125.35","652.27M","-0.45%"
"2020年06月17日","22,455.76","22,517.14","22,536.38","22,318.07","724.82M","-0.56%"
"2020年06月16日","22,582.21","21,912.29","22,624.14","21,899.48","1.00B","4.88%"
"2020年06月15日","21,530.95","22,135.27","22,251.83","21,529.83","785.12M","-3.47%"
"2020年06月12日","22,305.48","22,082.12","22,350.30","21,786.93","1.21B","-0.75%"
"2020年06月11日","22,472.91","22,848.02","22,939.39","22,466.54","1.06B","-2.82%"
"2020年06月10日","23,124.95","22,939.00","23,175.82","22,900.30","755.83M","0.15%"
"2020年06月09日","23,091.03","23,135.79","23,185.85","22,933.14","914.63M","-0.38%"
"2020年06月08日","23,178.10","23,121.98","23,178.10","23,028.62","1.08B","1.37%"
"2020年06月05日","22,863.73","22,613.08","22,865.88","22,563.56","856.15M","0.74%"
"2020年06月04日","22,695.74","22,885.14","22,907.92","22,501.81","919.55M","0.36%"
"2020年06月03日","22,613.76","22,649.01","22,818.87","22,462.68","941.36M","1.29%"
"2020年06月02日","22,325.61","22,175.52","22,401.79","22,118.40","778.91M","1.19%"
"2020年06月01日","22,062.39","21,910.89","22,161.39","21,898.99","721.66M","0.84%"
"2020年05月29日","21,877.89","21,807.63","21,955.44","21,710.80","1.53B","-0.18%"
"2020年05月28日","21,916.31","21,612.90","21,926.29","21,580.50","1.34B","2.32%"
"2020年05月27日","21,419.23","21,249.31","21,475.68","21,142.72","1.12B","0.70%"
"2020年05月26日","21,271.17","20,927.96","21,328.34","20,918.11","871.91M","2.55%"
"2020年05月25日","20,741.65","20,653.41","20,741.65","20,584.06","550.88M","1.73%"
"2020年05月22日","20,388.16","20,583.95","20,615.12","20,334.99","711.49M","-0.80%"
"2020年05月21日","20,552.31","20,692.59","20,734.91","20,503.87","628.63M","-0.21%"
"2020年05月20日","20,595.15","20,454.49","20,684.46","20,454.03","717.58M","0.79%"
"2020年05月19日","20,433.45","20,469.52","20,659.46","20,433.45","929.85M","1.49%"
"2020年05月18日","20,133.73","20,097.62","20,197.59","19,999.10","719.00M","0.48%"
"2020年05月15日","20,037.47","20,149.79","20,198.25","19,832.88","751.69M","0.62%"
"2020年05月14日","19,914.78","20,140.49","20,185.00","19,902.93","769.07M","-1.74%"
"2020年05月13日","20,267.05","20,140.92","20,329.89","20,056.46","795.08M","-0.49%"
"2020年05月12日","20,366.48","20,413.23","20,457.37","20,293.97","676.67M","-0.12%"
"2020年05月11日","20,390.66","20,333.73","20,534.88","20,285.04","761.76M","1.05%"
"2020年05月08日","20,179.09","19,972.09","20,179.09","19,894.58","822.09M","2.56%"
"2020年05月07日","19,674.77","19,468.52","19,720.87","19,448.93","828.64M","0.28%"
"2020年05月01日","19,619.35","19,991.97","20,000.25","19,551.73","866.44M","-2.84%"
"2020年04月30日","20,193.69","20,105.68","20,365.89","20,084.83","1.03B","2.14%"
"2020年04月28日","19,771.19","19,776.18","19,841.78","19,638.48","685.79M","-0.06%"
"2020年04月27日","19,783.22","19,410.84","19,819.06","19,410.18","775.76M","2.71%"
"2020年04月24日","19,262.00","19,331.86","19,352.24","19,175.38","847.02M","-0.86%"
"2020年04月23日","19,429.44","19,313.04","19,429.44","19,221.54","725.80M","1.52%"
"2020年04月22日","19,137.95","19,109.18","19,137.95","18,858.25","764.03M","-0.74%"
"2020年04月21日","19,280.78","19,479.83","19,529.06","19,193.22","794.36M","-1.97%"
"2020年04月20日","19,669.12","19,689.85","19,784.38","19,611.79","650.06M","-1.15%"
"2020年04月17日","19,897.26","19,575.85","19,922.07","19,554.70","878.43M","3.15%"
"2020年04月16日","19,290.20","19,311.30","19,362.17","19,154.41","814.48M","-1.33%"
"2020年04月15日","19,550.09","19,589.25","19,660.68","19,465.95","940.97M","-0.45%"
"2020年04月14日","19,638.81","19,150.30","19,705.99","19,093.12","818.78M","3.13%"
"2020年04月13日","19,043.40","19,312.04","19,355.04","19,014.32","656.32M","-2.33%"
"2020年04月10日","19,498.50","19,500.07","19,500.07","19,235.96","874.94M","0.79%"
"2020年04月09日","19,345.77","19,376.00","19,406.96","19,158.55","822.67M","-0.04%"
"2020年04月08日","19,353.24","19,047.76","19,454.34","18,730.80","1.06B","2.13%"
"2020年04月07日","18,950.18","18,878.86","19,162.52","18,553.14","1.08B","2.01%"
"2020年04月06日","18,576.30","17,857.99","18,672.26","17,802.62","1.06B","4.24%"
"2020年04月03日","17,820.19","17,951.44","18,059.15","17,646.50","959.83M","0.01%"
"2020年04月02日","17,818.72","17,934.42","18,132.04","17,707.66","1.07B","-1.37%"
"2020年04月01日","18,065.41","18,686.12","18,784.25","17,871.62","1.06B","-4.50%"
"2020年03月31日","18,917.01","19,181.90","19,336.19","18,834.16","1.22B","-0.88%"
"2020年03月30日","19,084.97","18,884.07","19,084.97","18,578.20","1.21B","-1.57%"
"2020年03月27日","19,389.43","19,021.97","19,389.43","18,832.21","1.49B","3.88%"
"2020年03月26日","18,664.60","19,234.77","19,240.29","18,512.81","1.28B","-4.51%"
"2020年03月25日","19,546.63","18,446.80","19,564.38","18,446.80","1.48B","8.04%"
"2020年03月24日","18,092.35","17,206.88","18,100.39","17,197.14","1.47B","7.13%"
"2020年03月23日","16,887.78","16,570.57","17,049.03","16,480.95","1.70B","2.02%"
"2020年03月19日","16,552.83","16,995.77","17,160.97","16,358.19","1.99B","-1.04%"
"2020年03月18日","16,726.55","17,154.08","17,396.84","16,698.46","1.77B","-1.68%"
"2020年03月17日","17,011.53","16,726.95","17,557.04","16,378.94","1.99B","0.06%"
"2020年03月16日","17,002.04","17,586.08","17,785.76","16,914.45","1.58B","-2.46%"
"2020年03月13日","17,431.05","18,183.47","18,184.46","16,690.60","2.33B","-6.08%"
"2020年03月12日","18,559.63","19,064.51","19,142.18","18,339.27","1.65B","-4.41%"
"2020年03月11日","19,416.06","19,758.26","19,974.83","19,392.25","1.29B","-2.27%"
"2020年03月10日","19,867.12","19,474.89","19,970.35","18,891.77","1.65B","0.85%"
"2020年03月09日","19,698.76","20,343.31","20,347.19","19,472.26","1.70B","-5.07%"
"2020年03月06日","20,749.75","21,009.80","21,061.20","20,613.91","1.12B","-2.72%"
"2020年03月05日","21,329.12","21,399.87","21,399.87","21,220.76","857.31M","1.09%"
"2020年03月04日","21,100.06","20,897.20","21,245.93","20,862.05","946.26M","0.08%"
"2020年03月03日","21,082.73","21,651.99","21,719.78","21,082.73","1.05B","-1.22%"
"2020年03月02日","21,344.08","20,849.79","21,593.11","20,834.29","1.24B","0.95%"
"2020年02月28日","21,142.96","21,518.01","21,528.13","20,916.40","1.48B","-3.67%"
"2020年02月27日","21,948.23","22,255.83","22,272.26","21,844.29","1.06B","-2.13%"
"2020年02月26日","22,426.19","22,374.14","22,456.55","22,127.42","993.40M","-0.79%"
"2020年02月25日","22,605.41","22,949.37","22,950.23","22,335.21","1.06B","-3.34%"
"2020年02月21日","23,386.74","23,427.77","23,588.55","23,378.33","620.67M","-0.39%"
"2020年02月20日","23,479.15","23,666.58","23,806.56","23,426.42","632.71M","0.34%"
"2020年02月19日","23,400.70","23,329.33","23,468.56","23,234.96","615.89M","0.89%"
"2020年02月18日","23,193.80","23,398.57","23,402.01","23,133.60","595.04M","-1.40%"
"2020年02月17日","23,523.24","23,489.78","23,561.98","23,335.99","540.38M","-0.69%"
"2020年02月14日","23,687.59","23,714.52","23,738.42","23,603.48","691.05M","-0.59%"
"2020年02月13日","23,827.73","23,849.76","23,908.85","23,784.31","645.17M","-0.14%"
"2020年02月12日","23,861.21","23,741.21","23,869.73","23,693.72","746.48M","0.74%"
"2020年02月10日","23,685.98","23,631.79","23,788.25","23,621.72","565.47M","-0.60%"
"2020年02月07日","23,827.98","23,899.01","23,943.45","23,759.42","653.61M","-0.19%"
"2020年02月06日","23,873.59","23,641.10","23,995.37","23,625.13","950.80M","2.38%"
"2020年02月05日","23,319.56","23,351.47","23,414.69","23,241.64","703.37M","1.02%"
"2020年02月04日","23,084.59","22,881.13","23,118.13","22,854.45","679.45M","0.49%"
"2020年02月03日","22,971.94","22,874.27","23,023.73","22,775.92","725.33M","-1.01%"
"2020年01月31日","23,205.18","23,148.92","23,421.59","23,139.98","753.66M","0.99%"
"2020年01月30日","22,977.75","23,284.58","23,318.57","22,892.95","695.56M","-1.72%"
"2020年01月29日","23,379.40","23,309.32","23,392.61","23,214.28","549.20M","0.71%"
"2020年01月28日","23,215.71","23,126.93","23,243.36","23,115.15","643.74M","-0.55%"
"2020年01月27日","23,343.51","23,427.90","23,463.89","23,317.32","624.17M","-2.03%"
"2020年01月24日","23,827.18","23,850.12","23,869.38","23,755.32","486.58M","0.13%"
"2020年01月23日","23,795.44","23,843.51","23,910.01","23,779.23","555.11M","-0.98%"
"2020年01月22日","24,031.35","23,835.49","24,040.87","23,831.10","489.71M","0.70%"
"2020年01月21日","23,864.56","24,072.81","24,081.75","23,843.48","445.89M","-0.91%"
"2020年01月20日","24,083.51","24,080.68","24,108.11","24,061.67","382.87M","0.18%"
"2020年01月17日","24,041.26","24,103.45","24,115.95","24,013.75","593.81M","0.45%"
"2020年01月16日","23,933.13","23,960.20","23,975.38","23,905.38","553.63M","0.07%"
"2020年01月15日","23,916.58","23,923.48","23,997.39","23,875.82","571.55M","-0.45%"
"2020年01月14日","24,025.17","23,969.04","24,059.86","23,951.66","642.33M","0.73%"
"2020年01月10日","23,850.57","23,813.28","23,903.29","23,761.08","558.61M","0.47%"
"2020年01月09日","23,739.87","23,530.29","23,767.09","23,506.15","621.91M","2.31%"
"2020年01月08日","23,204.76","23,217.49","23,303.21","22,951.18","794.10M","-1.57%"
"2020年01月07日","23,575.72","23,320.12","23,577.44","23,299.92","642.51M","1.60%"
"2020年01月06日","23,204.86","23,319.76","23,365.36","23,148.53","728.30M","-1.91%"
"2019年12月30日","23,656.62","23,770.93","23,782.49","23,656.62","415.90M","-0.76%"
"2019年12月27日","23,837.72","23,953.75","23,967.18","23,837.72","448.49M","-0.36%"
"2019年12月26日","23,924.92","23,787.70","23,931.51","23,775.40","403.42M","0.60%"
"2019年12月25日","23,782.87","23,813.59","23,824.85","23,782.87","315.89M","-0.20%"
"2019年12月24日","23,830.58","23,839.18","23,853.56","23,796.35","379.31M","0.04%"
"2019年12月23日","23,821.11","23,921.29","23,923.09","23,810.82","451.64M","0.02%"
"2019年12月20日","23,816.63","23,893.45","23,908.77","23,746.63","703.19M","-0.20%"
"2019年12月19日","23,864.85","23,911.46","23,945.53","23,835.29","556.39M","-0.29%"
"2019年12月18日","23,934.43","24,023.27","24,046.09","23,919.36","662.68M","-0.55%"
"2019年12月17日","24,066.12","24,091.12","24,091.12","23,996.51","639.96M","0.47%"
"2019年12月16日","23,952.35","23,955.20","24,036.30","23,950.05","533.16M","-0.29%"
"2019年12月13日","24,023.10","23,810.56","24,050.04","23,775.73","1.15B","2.55%"
"2019年12月12日","23,424.81","23,449.28","23,468.15","23,360.43","562.95M","0.14%"
"2019年12月11日","23,391.86","23,421.14","23,438.43","23,333.63","613.41M","-0.08%"
"2019年12月10日","23,410.19","23,372.39","23,449.47","23,336.93","527.60M","-0.09%"
"2019年12月09日","23,430.70","23,544.31","23,544.31","23,360.01","558.34M","0.33%"
"2019年12月06日","23,354.40","23,347.67","23,412.48","23,338.40","543.92M","0.23%"
"2019年12月05日","23,300.09","23,292.70","23,363.44","23,259.82","614.40M","0.71%"
"2019年12月04日","23,135.23","23,186.74","23,203.77","23,044.78","581.24M","-1.05%"
"2019年12月03日","23,379.81","23,231.14","23,388.18","23,186.84","588.14M","-0.64%"
"2019年12月02日","23,529.50","23,388.63","23,562.05","23,378.40","477.25M","1.01%"
"2019年11月29日","23,293.91","23,497.44","23,498.77","23,273.37","520.90M","-0.49%"
"2019年11月28日","23,409.14","23,458.88","23,482.32","23,367.33","447.84M","-0.12%"
"2019年11月27日","23,437.77","23,452.85","23,507.82","23,418.23","521.84M","0.28%"
"2019年11月26日","23,373.32","23,451.40","23,608.06","23,350.10","942.77M","0.35%"
"2019年11月25日","23,292.81","23,292.85","23,347.18","23,255.39","503.46M","0.78%"
"2019年11月22日","23,112.88","23,030.33","23,219.51","23,030.33","555.81M","0.32%"
"2019年11月21日","23,038.58","23,071.49","23,108.08","22,726.71","698.01M","-0.48%"
"2019年11月20日","23,148.57","23,176.49","23,303.17","23,086.12","657.19M","-0.62%"
"2019年11月19日","23,292.65","23,366.36","23,389.53","23,244.93","642.31M","-0.53%"
"2019年11月18日","23,416.76","23,304.25","23,420.62","23,271.29","573.00M","0.49%"
"2019年11月15日","23,303.32","23,160.53","23,340.77","23,121.59","721.80M","0.70%"
"2019年11月14日","23,141.55","23,325.50","23,360.06","23,062.16","799.02M","-0.76%"
"2019年11月13日","23,319.87","23,439.25","23,452.63","23,270.93","634.08M","-0.85%"
"2019年11月12日","23,520.01","23,336.37","23,545.70","23,312.25","629.78M","0.81%"
"2019年11月11日","23,331.84","23,422.13","23,471.82","23,323.02","615.31M","-0.26%"
"2019年11月08日","23,391.87","23,550.04","23,591.09","23,313.41","945.63M","0.26%"
"2019年11月07日","23,330.32","23,283.14","23,336.00","23,253.32","709.13M","0.11%"
"2019年11月06日","23,303.82","23,343.51","23,352.56","23,246.57","774.06M","0.22%"
"2019年11月05日","23,251.99","23,118.79","23,328.52","23,090.94","1.02B","1.76%"
"2019年11月01日","22,850.77","22,730.49","22,852.72","22,705.60","654.07M","-0.33%"
"2019年10月31日","22,927.04","22,910.10","22,988.80","22,875.50","783.15M","0.37%"
"2019年10月30日","22,843.12","22,953.17","22,961.23","22,827.93","1.02B","-0.57%"
"2019年10月29日","22,974.13","22,950.79","23,008.43","22,935.35","728.98M","0.47%"
"2019年10月28日","22,867.27","22,854.44","22,896.22","22,830.57","481.23M","0.30%"
"2019年10月25日","22,799.81","22,753.24","22,819.92","22,715.13","571.58M","0.22%"
